"Privacy Settings","Datenschutzeinstellungen"
"Information","Information"
"Export your personal data","Exportieren Sie Ihre persönlichen Daten"
"Export my data","Meine Daten exportieren"
"Account deletion","Benutzerkonto löschen"
"Attention!","Achtung!"
"Your account will be deleted soon. You can undo this action.","Ihr Konto wird in Kürze gelöscht. Sie können diese Aktion rückgängig machen."
"Undo deletion","Löschen rückgängig machen"
"Delete my account","Mein Benutzerkonto löschen"
"Delete Account","Benutzerkonto Account"
"Password","Passwort"
"Reason","Grund"
"Delete my account","Löschen Sie mein Konto"
"Cookie Policy","Cookie-Richtlinie"
"Click here to learn about cookies","Klicken Sie hier, um mehr über Cookies zu erfahren"
"Agree","Zustimmen"
